FarmID,Farm Name,Lot Number,Mill,ICO Number,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date
125,Gamboa Farm,12074,Beneficio Montañas del Diamante,5-0025-0130,1850,Tarrazu,Martin Gutierrez,320,69 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023"
126,東泓咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T019",東泓咖啡莊園,,750,Yunlin,陳善東,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022"
127,Doi Tung Development Project,TYPICA 21/22 (Coffea Arabica),Dry Mill,,1300-1500,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022"
128,MASHIMA AMCOS,CN 4127220163/4189220459,GOURMET COFFEE MILL,033/0010/032,1400-1700,KILIMANJARO,DORMAN TANZANIA LTD,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"January 3rd, 2023"
129,Fazenda Conquista e Capoeirinha,004/22,Dry mill,,950,Sul de Minas,Ipanema Agrícola SA,960,60 kg,Brazil Specialty Coffee Association,2022 / 2023,"February 13th, 2023"
130,棒棒有機農場,A41-Northern Taiwan Specialty Coffee Evaluation,棒棒有機農場,,1100-1200,苗栗縣,林木青,1,320 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
131,Buenos Aires,CQU2023003,Buenos Aires,,1390,Quindio,Chucho Bedoya,2,12 kg,Japan Coffee Exchange,2022,"April 7th, 2023"
132,La Bendicion,"The 2022 Pacific Rim Coffee Summit,HN03","COMSA (Cafe Organic Marcala, S.A)",,1600,"Marcala, La Paz",Joaquin Suazo,9,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022"
133,varias,AMNI-22-6011-2,Beneficio seco,13-167-471-2,1400,Marcala,comsa,260,69 kg,Instituto Hondureño del Café,2021 / 2022,"August 17th, 2022"
134,蜜多莊園,A35-Northern Taiwan Specialty Coffee Evaluation,蜜多莊園,,200-300,新竹縣,張新榮,1,16 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
135,迎曦山丘,A20-Northern Taiwan Specialty Coffee Evaluation,迎曦山丘,,340,苗栗縣,翁召安,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
136,Nongluang Bolaven Plateau,DCN03.11.2022,Dao Heuang Group,,1200 - 1300,"Nongluang Bolaven Plateau, Champasack, Lao PDR",Dao Heuang Group,26,60 kg,Specialty Coffee Association of Indonesia,2022,"December 30th, 2022"
137,La Cuchilla,187,CIGRAH,13-111-059,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",Fausto Nahun Maldonado,250,69 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022"
138,Bethel,198,CADEXSA,13-63-119,1450,"Los Planes de Santa Maria, La Paz",Omar Acosta,325,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023"
139,EL PRADO,3-59-0654,NEIVA,3-59-0654,1650,HUILA,FRANKLIN DUSSAN,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,"January 13th, 2023"
140,樹橋窩莊園,A17-Northern Taiwan Specialty Coffee Evaluation,樹橋窩莊園,,250-300,新竹縣,王維書,1,12 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
141,Finca Tequihua,001,"Coatepec, Veracruz",3093,1350,"ZONGOLICA, VERACRUZ",Martin Tequihuatle Zepahua,141,69 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"August 11th, 2022"
142,La Argentina,CQU2022013,La Argentina,,1350,Quindio,Augusto Torres,1,12 kg,Japan Coffee Exchange,2021 / 2022,"June 16th, 2022"
143,嵩岳咖啡莊園,202203,yes,non,1200,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",郭亮志,300,1 kg,Blossom Valley International宸嶧國際,2022,"October 24th, 2022"
144,Varias,273,Beneficio Seco Comsa,13-167-181,1280,Marcala,Varios,275,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 24th, 2023"
145,Doi Tung Development Project,GAYO 21/22 (Coffea Arabica),Dry Mill,,1300-1500,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022"
146,Ea tan Cooperative,VHA- S3,SIMEXCO DAKLAK LTD,,900,"Eatan Commune, Krong Nang District, Krong Nang Province",Ea Tan Cooperative,22,60 kg,Specialty Coffee Association,2021 / 2022,"June 3rd, 2022"
147,Finca San Felipe,017-053-0017,Beneficio Atlantic Sébaco,017-053-0017,1200,Matagalpa,Exportadora Atlantic S.A.,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"January 30th, 2023"
148,AMA EL AROMA Micro lot - Sunrise,"The 2022 Pacific Rim Coffee Summit,CR01",Micro mill,,1450,west Villege,various producers,10,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022"
149,Federación Nacional de Cafeteros de Colombia,3/01/12857,Federación Nacional de Cafeteros de Colombia,3/01/12857,1700,Huila,Federación Nacional de Cafeteros de Colombia,250,70 kg,Japan Coffee Exchange,2022,"July 11th, 2022"
150,Doi Tung Development Project,CATURRA 21/22 (Coffea Arabica),Dry Mill,,1200 - 1580,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022"
151,Kevin Coffee,21/22,Dry mill,,1200,Chiang Mai,Kevin Wattana,6,50 kg,Specialty Coffee Institute of Thailand,2021 / 2022,"June 14th, 2022"
152,Bethel,197,CADEXSA,13-63-118,1450,los planes de santa maria la paz,Omar Acosta,325,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023"
153,銅鏡莊園,A01-Northern Taiwan Specialty Coffee Evaluation,銅鏡莊園,,165,苗栗縣,吳聲發,1,4 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
154,掬香園,A22-Northern Taiwan Specialty Coffee Evaluation,掬香園,,465,苗栗縣,謝櫞楨,1,32 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
155,Finca Las Dos Marias,4 -3.1,"Compare Coperativo Condega, Esteli, Nicaragua",,1350,ESTELI,NicaNoLA Coffee,120,45 kg,Specialty Coffee Association,2021 / 2022,"June 20th, 2022"
156,Agua Caliente,1-26,Agua Caliente,9-392-35,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30 kg,Salvadoran Coffee Council,2022 / 2023,"March 3rd, 2023"
157,Finca Lerida,P03769,Finca Lerida,29-169-003,1200,Boquete,Finca Lerida,200,30 kg,Specialty Coffee Association of Costa Rica,2021 / 2022,"May 25th, 2022"
158,Fazenda Pedra Preta,MVB-QCert-001/2022,COPAG VARGINHA,002/1643/0049,1100,MANTIQUEIRA / SUL DE MINAS,Eduardo Niero de Souza,620,30 kg,Brazil Specialty Coffee Association,2022 / 2023,"November 3rd, 2022"
159,Kainaliu Farm,"The 2022 Pacific Rim Coffee Summit,US03",Aloha Hills Kona Coffee,,640,Kona,Kainaliu-Kona Coffee Company,4,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022"
160,Las Trincheras,"The 2022 Pacific Rim Coffee Summit,MX01",Las Trincheras,,1340,Veracruz,Jose Cienfuegos,10,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022"
161,La Cuchilla,185,CIGRAH,13-111-057,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",Fausto Nahun Maldonado,345,30 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022"
162,弘欣咖啡園,A02-Northern Taiwan Specialty Coffee Evaluation,弘欣咖啡園,,139,新竹縣,胡明杰,1,200 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
163,Finca Aurora,1,Beneficio Seco Finca Aurora,,1200-1350,"Matagalpa, Nicaragua",Sabio Coffee - Enrique Ferrufino & Tania Ferrufino,275,69 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 30th, 2022"
164,Apollo Estate,Apollo Washed 2021,Dry Mill,,1040,Dalat,"Yeh,Li Chuan",77,15 kg,Specialty Coffee Association,2021,"June 1st, 2022"
165,Agua Caliente,1-26,Agua Caliente,9-392-35,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30 kg,Salvadoran Coffee Council,2022 / 2023,"February 21st, 2023"
166,Agua Caliente,1-74,Agua Caliente,09-392-144,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",275,69 kg,Salvadoran Coffee Council,2021 / 2022,"July 7th, 2022"
167,寶山謐靚,A48-Northern Taiwan Specialty Coffee Evaluation,寶山謐靚,,140,新竹縣,宋煦仁,1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
168,Fundo La Libertado,PR138,Planta Callao,,1600,"Chanchamayo, La Merced",Sand Crispin Espiritu,275,69 kg,Japan Coffee Exchange,2022 / 2023,"July 11th, 2022"
169,Manny's Farm,Islander’s Coffee for Pacific Rim Summit,Manny's Farm,,1200,Kona district of Big Island,Manny Ochoa,3,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 9th, 2022"
170,Kenyan Highlands,CQU2023004,TAYLOR WINCH,,1500-1950,Kericho,Slelected small holder,13,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023"
171,La Cuchilla,184,CIGRAH,13-111-056,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",Fausto Nahun Maldonado,125,69 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022"
172,金暖農場,A43-Northern Taiwan Specialty Coffee Evaluation,金暖農場,,600,桃園市,何育達,1,3 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
173,好客農埸,A34-Northern Taiwan Specialty Coffee Evaluation,好客農埸,,460,苗栗縣,彭聰明,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
174,拉拉山祖嵐咖啡莊園,A50-Northern Taiwan Specialty Coffee Evaluation,拉拉山祖嵐咖啡莊園,,500,桃園市,宗素霞,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
175,Doi Tung Development Project,MIXED DT 21/22 (Coffea Arabica),Dry Mill,,800-1200,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022"
176,San Diego Mill,S019194 - P04178,Dosmil,5-0015-0228,1500,Corralillo Tarrazu,San Diego Mill,500,30 kg,Specialty Coffee Association of Costa Rica,2018 / 2019,"March 29th, 2023"
177,Not Specificated,SA4238,Dry Mill of Exportcafe,#327,1350-1550,Oriente,"Exportcafe, S.A.",275,69 kg,Japan Coffee Exchange,2021 / 2022,"November 28th, 2022"
178,Wahana Graha Makmur,015/1686/057,PT. Wahana Graha Makmur Medan,,1350,Sumatra,PT. Wahana Graha Makmur Group,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"August 22nd, 2022"
179,Fundo La Libertad,301R,Planta Callao,301R,1600,"Chanchamayo, La Merced",Sandro Crispin Espiritu,275,69 kg,Japan Coffee Exchange,2022 / 2023,"July 11th, 2022"
180,MULTIPLE SMALLHOLDER FARMS,GF-23392,MULTIPLE SMALLHOLDER FARMS,11/15/179,1200~1600,Antigua,La Minita,540,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 3rd, 2022"
181,阿拉思家,A10-Northern Taiwan Specialty Coffee Evaluation,阿拉思家,,300,桃園市,李秀圓,1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
182,Gaia Farms,221221,Hulling Facility,,5400,Lam Dong Province,Viet Coffee Company Limited,1,1 kg,Firedancer Coffee Consultants,2022 / 2023,"April 10th, 2023"
183,Sitio Colinas,CQU2023007,COCARIVE,,1000,Mantiquira de minas,Luis Flavio Pereira de Castro,14,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023"
184,Fazenda Olhos Dagua,1,Owned by producer,,900-1000,Sul de Minas,Paulo Enidio Crabi,325,59 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"December 30th, 2022"
185,More than one,1,Trilladora CCA Buga,,1574,Santander,More than one,275,70 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"December 30th, 2022"
186,Finca San José,002,"Coatepec, Veracruz",3093,1200,"Coatepec, Veracruz",José Gerardo Gutierrez Morales,32,69 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"August 11th, 2022"
187,HACIENDA SAN IGNACIO,OIC 5-019-0037/ Contenedor: DRYU3106597 / Cliente: O COFFEE,Beneficio La Giorgia,,1200,occidente,FJO ORLICH HNO LTDA,100,69 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"March 29th, 2023"
188,橫鹿,A46-Northern Taiwan Specialty Coffee Evaluation,橫鹿,,300,新北市,呂星輝,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
189,大屯29莊園,A38-Northern Taiwan Specialty Coffee Evaluation,大屯29莊園,,435,臺北市,侯奕瑋,1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023"
190,Doi Tung Development Project,JAVA 21/22 (Coffea Arabica),Dry Mill,,1300-1500,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022"
191,Doi Lan,"The 2022 Pacific Rim Coffee Summit,TH07",Miramar Coffee,,1400,Chiang Rai,Prakol Saelee,5,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022"
192,Doi Tung Development Project,MIXED 21/22 (Coffea Arabica),Dry Mill,,600-800,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022"
193,Escalera,CQU2022019,Escalera,,1300-1800,Cauca,Escalera,1,30 kg,Japan Coffee Exchange,2021 / 2022,"December 22nd, 2022"
194,Various farm,0038,Dry Mill of Cocapil,002/1738/0038,1200,Alta Mogiana-Ibiraci,Cocapil,440,60 kg,Japan Coffee Exchange,2022 / 2023,"April 17th, 2023"
195,"Rosario de Maria II, Area de Loma Alta",0623C01,"Optimum Coffee, San Salvador, El Salvador",,1400,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023"
196,EXPORTADORA ATLANTIC S.A,017/053/0603,Lavado,,1100,,Varios Productores,275,69 kg,Japan Coffee Exchange,2021,"July 11th, 2022"
197,Sajonia Estate Coffee S.A.,1,Sajonia Estate Coffee S.A.,017/411,1000,Jinotega,Sajonia Estate Coffee S.A.,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"April 20th, 2023"
198,Finca Mallorca,CQU2023001,Finca Mallorca,,1600,"Caicedonia,Valle del Cauca",Finca Mallorca,3,10 kg,Japan Coffee Exchange,2022,"March 6th, 2023"
199,Fundo La Libertad,PR137,Callao Plant,,1600,"Chanchamayo, Lamerced",Sandro Crispin Espiritu,275,69 kg,Japan Coffee Exchange,2022 / 2023,"June 10th, 2022"
200,"Rosario de Maria II, Area de Menjivar",0523B01,"Optimum Coffee, San Salvador, El Salvador",,1300,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023"
201,Various farm,002/1738/0029,Dry mill,002/1738/0029,1200,Alta Mogiana-Ibiraci,COCAPIL,440,60 kg,Japan Coffee Exchange,2021 / 2022,"July 20th, 2022"
202,Fazenda Conquista,019/22,Dry Mill,,950,Sul de Minas,Ipanema Coffees,2240,60 kg,Brazil Specialty Coffee Association,2022 / 2023,"February 2nd, 2023"
203,Finca San Felipe,017-053-0155,Beneficio Atlantic Sébaco,017-053-0155,1200,Matagalpa,Exportadora Atlantic S.A.,300,30 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"March 3rd, 2023"
204,-,105/3/VL7285-005,DRY MILL,105/3/VL7285-005,1300,Bolaven Plateau,"LAO MINH TIEN COFFEE SOLE CO.,LTD",343,60 kg,Japan Coffee Exchange,2021 / 2022,"November 11th, 2022"
205,"Rosario de Maria II, Area de La Pila",0423A01,"Optimum Coffee, San Salvador, El Salvador",,1200,"Volcan de San Vicente, La Paz, El Salvador",Roselia Yglesias,1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023"
206,Walter Matter,1058 y 1059,Beneficio humedo/seco,002/1208/1016,850-1100,Minas Gerais,Walter Matter,600,60 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"November 18th, 2022"
